dauid,int_d,dwl_d,z_int_d,z_dwl_d,ale_index,ale_class
48170334,24.6,199.3,-0.079184502,-0.59215862,-0.67134309,1
48170335,16,159.8,-0.49251044,-0.62712532,-1.1196357,1
48170336,8.6000004,92.599998,-0.84816295,-0.68661302,-1.534776,1
48170337,0.30000001,1.5,-1.2470706,-0.76725781,-2.0143285,1
48170338,0,2.7,-1.2614889,-0.76619554,-2.0276845,1
48170339,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
48170340,0,0.30000001,-1.2614889,-0.76832008,-2.029809,1
48170341,0,0,-1.2614889,-0.76858568,-2.0300746,1
48170342,6.6999998,12,-0.93947917,-0.75796288,-1.6974421,1
48170343,16.299999,90.099998,-0.47809207,-0.68882608,-1.1669182,1
48170344,14.7,93.199997,-0.55498993,-0.68608189,-1.2410718,1
48170345,1,27.5,-1.2134278,-0.74424171,-1.9576695,1
48170346,0,1.4,-1.2614889,-0.76734632,-2.0288353,1
48170347,0,1.6,-1.2614889,-0.7671693,-2.0286582,1
48170348,0,5.5999999,-1.2614889,-0.76362836,-2.0251172,1
48170349,0,.,-1.2614889,.,.,.
48170350,0,.,-1.2614889,.,.,.
48170351,0,3.5999999,-1.2614889,-0.7653988,-2.0268877,1
48170352,18.6,62.900002,-0.36755142,-0.71290445,-1.0804559,1
48170353,15.1,62.799999,-0.53576547,-0.71299297,-1.2487584,1
48180036,0,1.8,-1.2614889,-0.76699221,-2.0284812,1
48180037,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
48180038,0.30000001,1.1,-1.2470706,-0.76761192,-2.0146825,1
48180039,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
48180040,0,0,-1.2614889,-0.76858568,-2.0300746,1
48180041,0,3.9000001,-1.2614889,-0.76513326,-2.0266221,1
48180042,0,0.89999998,-1.2614889,-0.76778895,-2.0292778,1
48180043,0,0.40000001,-1.2614889,-0.76823157,-2.0297205,1
48180044,18.6,129.10001,-0.36755142,-0.654302,-1.0218534,1
48180045,15,106.6,-0.54057157,-0.67421973,-1.2147913,1
48180046,10.6,49.099998,-0.75204068,-0.72512066,-1.4771614,1
48180047,0,0,-1.2614889,-0.76858568,-2.0300746,1
48180048,0,0,-1.2614889,-0.76858568,-2.0300746,1
48180049,8,108.2,-0.87699968,-0.6728034,-1.549803,1
48180050,18.6,148.89999,-0.36755142,-0.63677436,-1.0043257,1
48180051,16.6,151.10001,-0.46367374,-0.63482684,-1.0985006,1
48180052,2.9000001,31.700001,-1.1221116,-0.74052376,-1.8626353,1
48180053,0.60000002,0,-1.2326522,-0.76858568,-2.0012379,1
48180054,0.60000002,42.200001,-1.2326522,-0.73122877,-1.963881,1
48180055,17,267.29999,-0.44444928,-0.53196269,-0.976412,1
48180056,18.299999,321,-0.38196978,-0.48442563,-0.86639541,2
48180057,17,296.60001,-0.44444928,-0.50602537,-0.95047462,1
48180058,17.6,316.5,-0.41561258,-0.48840919,-0.9040218,2
48180059,15.4,278.39999,-0.52134711,-0.52213663,-1.0434837,1
48180060,8.3000002,144.8,-0.86258131,-0.64040381,-1.5029851,1
48190148,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
48190149,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
48190150,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
48190151,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
48190152,0,0.30000001,-1.2614889,-0.76832008,-2.029809,1
48190153,13.4,82.300003,-0.61746943,-0.69573092,-1.3132004,1
48190154,0.30000001,0.40000001,-1.2470706,-0.76823157,-2.0153022,1
48190155,12.2,97.699997,-0.67514282,-0.68209833,-1.3572412,1
48190156,14.1,101.6,-0.5838266,-0.67864591,-1.2624725,1
48190157,0.30000001,0.2,-1.2470706,-0.7684086,-2.0154791,1
48190158,0,0.80000001,-1.2614889,-0.76787746,-2.0293665,1
48190159,1,0.60000002,-1.2134278,-0.76805454,-1.9814823,1
48190160,0,1,-1.2614889,-0.76770043,-2.0291893,1
48190161,0,0.89999998,-1.2614889,-0.76778895,-2.0292778,1
48190162,0.60000002,0.80000001,-1.2326522,-0.76787746,-2.0005298,1
48190163,0,11,-1.2614889,-0.75884807,-2.0203371,1
48190164,14.1,123,-0.5838266,-0.65970194,-1.2435285,1
48190165,16.700001,148.5,-0.45886761,-0.63712847,-1.095996,1
48190166,15.7,146.3,-0.5069288,-0.63907599,-1.1460048,1
48190167,0,1.2,-1.2614889,-0.76752341,-2.0290122,1
48190168,1,2.0999999,-1.2134278,-0.76672667,-1.9801544,1
48190169,0,0.69999999,-1.2614889,-0.76796597,-2.0294549,1
48190170,0.30000001,0.40000001,-1.2470706,-0.76823157,-2.0153022,1
48190171,0.30000001,1.3,-1.2470706,-0.76743484,-2.0145054,1
48190172,0,1.6,-1.2614889,-0.7671693,-2.0286582,1
48190173,0.60000002,5.3000002,-1.2326522,-0.7638939,-1.9965461,1
48190174,1,11.1,-1.2134278,-0.75875956,-1.9721873,1
48190175,5.8000002,115.5,-0.9827342,-0.66634119,-1.6490754,1
48190176,25.6,514.70001,-0.031123346,-0.31295589,-0.34407923,2
48190177,37.799999,668.59998,0.55522275,-0.17671843,0.37850431,2
48190178,28.799999,523.40002,0.12267235,-0.30525434,-0.18258201,2
48190179,23.700001,500,-0.12243954,-0.32596883,-0.44840837,2
48190180,43.200001,774.59998,0.814753,-0.082883649,0.73186934,2
48190181,43.900002,778.59998,0.84839576,-0.079342715,0.76905304,2
48190182,43.5,779.70001,0.8291713,-0.078368962,0.75080234,2
48190183,39.099998,695.40002,0.61770225,-0.15299416,0.46470809,2
48190184,35.5,609.29999,0.44468209,-0.22921278,0.2154693,2
48190185,35.5,597,0.44468209,-0.24010116,0.20458093,2
48190186,27.5,452.29999,0.060192849,-0.36819446,-0.30800161,2
48190187,22.4,434,-0.18491904,-0.38439423,-0.56931329,2
48190188,13.8,265.10001,-0.59824497,-0.53391021,-1.1321552,1
48190189,17.9,334.39999,-0.40119424,-0.47256351,-0.87375778,2
48190190,19.5,289.10001,-0.32429639,-0.51266462,-0.83696097,1
48190191,27.9,404,0.079417311,-0.41095126,-0.33153394,2
48190192,18.299999,290.60001,-0.38196978,-0.51133674,-0.89330655,1
48190193,9,112.2,-0.82893848,-0.66926247,-1.4982009,1
48190194,0.30000001,3.2,-1.2470706,-0.76575291,-2.0128236,1
48190195,9.8999996,159.39999,-0.78568345,-0.62747943,-1.4131628,1
48190196,26.9,415.20001,0.031356156,-0.40103665,-0.36968049,2
48190197,31.700001,559.40002,0.2620497,-0.27338594,-0.011336243,2
48190198,40.299999,628.40002,0.67537564,-0.21230482,0.46307081,2
48190199,38.099998,595.40002,0.56964111,-0.24151753,0.32812357,2
48190200,44.5,690.29999,0.87723249,-0.15750885,0.71972364,2
48190201,38.099998,729.20001,0.56964111,-0.12307326,0.44656783,2
48190202,44.200001,838.70001,0.86281413,-0.026140174,0.83667397,3
48190203,41.599998,730.59998,0.73785514,-0.12183394,0.61602122,2
48190204,35.200001,800.29999,0.43026373,-0.060133144,0.3701306,2
48190205,26.6,632.90002,0.016937809,-0.20832126,-0.19138345,2
48190206,28.5,631.09998,0.108254,-0.20991468,-0.10166068,2
48190207,4.1999998,157,-1.0596321,-0.62960398,-1.689236,1
48190208,32.299999,876,0.2908864,0.006879043,0.29776543,3
48190209,36.200001,826.90002,0.47832489,-0.036585931,0.44173896,2
48190210,36.5,806.70001,0.49274325,-0.054467652,0.43827558,2
48190211,40,757.59998,0.66095728,-0.097932622,0.56302464,2
48190212,37.5,878.79999,0.54080439,0.009357698,0.55016208,3
48190213,33.599998,833.5,0.3533659,-0.030743388,0.32262251,2
48190214,31.1,764,0.23321301,-0.092267126,0.14094588,2
48190215,31.1,922.90002,0.23321301,0.048396502,0.28160951,3
48190216,23.700001,669.59998,-0.12243954,-0.1758332,-0.29827273,2
48190217,25.9,718.40002,-0.016704999,-0.13263379,-0.14933878,2
48190218,25,554.5,-0.059960037,-0.27772358,-0.33768362,2
48190219,23.4,579,-0.13685788,-0.25603536,-0.39289325,2
48190220,25.6,639.59998,-0.031123346,-0.20239019,-0.23351355,2
48190221,22.1,493.89999,-0.19933739,-0.33136874,-0.53070611,2
48190222,0,82.300003,-1.2614889,-0.69573092,-1.9572198,1
48190223,16.700001,430.60001,-0.45886761,-0.38740402,-0.84627163,2
48190224,19.5,444.79999,-0.32429639,-0.37483373,-0.69913012,2
48190225,24,444.5,-0.10802119,-0.3750993,-0.48312047,2
48190226,23.4,413.20001,-0.13685788,-0.40280712,-0.53966498,2
48190227,20.5,345.60001,-0.27623522,-0.4626489,-0.73888415,2
48190228,18.299999,369.89999,-0.38196978,-0.44113773,-0.82310748,2
48190229,17,177.8,-0.44444928,-0.61119109,-1.0556403,1
48190230,12.2,163.60001,-0.67514282,-0.62376142,-1.2989043,1
48190231,0,4.0999999,-1.2614889,-0.76495618,-2.0264452,1
48190232,6.0999999,80.5,-0.96831584,-0.69732434,-1.6656402,1
48190233,8.3000002,198.5,-0.86258131,-0.59286678,-1.4554482,1
48190234,12.2,291.10001,-0.67514282,-0.51089412,-1.1860369,1
48190235,0.30000001,7.8000002,-1.2470706,-0.76168084,-2.0087514,1
48190236,1.3,45.599998,-1.1990094,-0.72821903,-1.9272285,1
48190237,25.9,335.89999,-0.016704999,-0.47123566,-0.48794067,2
48190238,28.799999,462.20001,0.12267235,-0.35943064,-0.23675831,2
48190239,32.299999,476.10001,0.2908864,-0.34712592,-0.056239516,2
48190240,24,251.8,-0.10802119,-0.5456838,-0.653705,1
48190241,38.099998,833.20001,0.56964111,-0.031008959,0.53863215,2
48190242,38.099998,619.09998,0.56964111,-0.22053748,0.3491036,2
48190243,39.400002,696.29999,0.63212061,-0.15219745,0.47992313,2
48190244,41.299999,765.20001,0.72343677,-0.091204844,0.63223195,2
48190245,38.700001,800,0.59847778,-0.060398716,0.53807908,2
48190246,0.30000001,1.7,-1.2470706,-0.76708078,-2.0141513,1
48190247,10.6,115.1,-0.75204068,-0.66669524,-1.418736,1
48190248,13.1,123.5,-0.63188779,-0.65925932,-1.2911471,1
48190249,12.5,106.3,-0.66072446,-0.67448533,-1.3352098,1
48190250,0.30000001,0.5,-1.2470706,-0.76814306,-2.0152135,1
48190251,0,2,-1.2614889,-0.76681519,-2.0283041,1
48190252,0,1,-1.2614889,-0.76770043,-2.0291893,1
48190253,23.1,156.5,-0.15127623,-0.63004661,-0.78132284,1
48190254,15.1,128.8,-0.53576547,-0.65456754,-1.190333,1
48190255,24.700001,121.5,-0.074378386,-0.66102976,-0.73540813,1
48190256,11.5,109,-0.70878565,-0.67209518,-1.3808808,1
48190257,0.30000001,0.80000001,-1.2470706,-0.76787746,-2.0149481,1
48190258,0.60000002,1.1,-1.2326522,-0.76761192,-2.0002642,1
48190259,1,0.60000002,-1.2134278,-0.76805454,-1.9814823,1
48190260,15.7,56,-0.5069288,-0.71901256,-1.2259413,1
48190261,0.30000001,1,-1.2470706,-0.76770043,-2.014771,1
48190262,0,4.5,-1.2614889,-0.76460212,-2.0260911,1
48190263,0,0.30000001,-1.2614889,-0.76832008,-2.029809,1
48190264,0.30000001,0.40000001,-1.2470706,-0.76823157,-2.0153022,1
48190265,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
48190266,24,755.20001,-0.10802119,-0.10005718,-0.20807838,2
48190267,36.5,898.79999,0.49274325,0.027062371,0.51980561,3
48190268,17.299999,114.6,-0.43003094,-0.66713786,-1.0971688,1
48190269,17.299999,115,-0.43003094,-0.66678381,-1.0968148,1
48190270,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
48190271,0.60000002,0.30000001,-1.2326522,-0.76832008,-2.0009723,1
48190272,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
48190273,0,0.30000001,-1.2614889,-0.76832008,-2.029809,1
48190274,20.799999,118.8,-0.26181689,-0.6634199,-0.92523676,1
48190275,33.599998,221.39999,0.3533659,-0.57259494,-0.21922903,1
48190276,26.9,216.60001,0.031356156,-0.57684404,-0.54548788,1
48190277,2.5999999,69.599998,-1.1365299,-0.70697337,-1.8435032,1
48190278,6.0999999,81.699997,-0.96831584,-0.69626206,-1.664578,1
48190279,0,0.89999998,-1.2614889,-0.76778895,-2.0292778,1
48190280,15.7,149.8,-0.5069288,-0.63597763,-1.1429064,1
48190281,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
48190282,0,0.5,-1.2614889,-0.76814306,-2.0296319,1
48190283,0.30000001,0.30000001,-1.2470706,-0.76832008,-2.0153906,1
48190284,0,1.7,-1.2614889,-0.76708078,-2.0285697,1
48190285,0.30000001,0.60000002,-1.2470706,-0.76805454,-2.015125,1
48190286,11.5,68.900002,-0.70878565,-0.70759308,-1.4163787,1
48190287,22.1,113.6,-0.19933739,-0.66802311,-0.86736047,1
48190288,10.9,96.099998,-0.73762232,-0.68351471,-1.421137,1
48190289,13.1,127.4,-0.63188779,-0.6558069,-1.2876947,1
48190290,24.6,159.89999,-0.079184502,-0.62703681,-0.70622128,1
48190291,15.4,152.39999,-0.52134711,-0.63367605,-1.1550232,1
48190292,0.30000001,1.3,-1.2470706,-0.76743484,-2.0145054,1
48190293,4.8000002,33,-1.0307953,-0.73937297,-1.7701683,1
48190294,1.3,32.5,-1.1990094,-0.73981559,-1.938825,1
48190295,7.6999998,89.400002,-0.89141804,-0.68944579,-1.5808638,1
48190296,1,48.299999,-1.2134278,-0.72582889,-1.9392567,1
48190297,18.9,150.60001,-0.35313308,-0.63526946,-0.98840255,1
48190298,18.200001,133.5,-0.38677588,-0.65040696,-1.0371828,1
48190299,18.6,131.3,-0.36755142,-0.65235448,-1.0199059,1
48190300,13.4,230.2,-0.61746943,-0.56480485,-1.1822743,1
48190301,14.7,205.2,-0.55498993,-0.5869357,-1.1419257,1
48190302,13.8,204,-0.59824497,-0.58799797,-1.1862429,1
48190303,4.5,73,-1.0452137,-0.70396358,-1.7491773,1
48190304,2.5999999,33,-1.1365299,-0.73937297,-1.8759029,1
48190305,0,0.30000001,-1.2614889,-0.76832008,-2.029809,1
48190306,7.4000001,40.299999,-0.90583634,-0.73291075,-1.6387471,1
48190307,0,0.30000001,-1.2614889,-0.76832008,-2.029809,1
48190308,17.299999,102.3,-0.43003094,-0.67802626,-1.1080571,1
48190309,17.299999,103.3,-0.43003094,-0.67714101,-1.1071719,1
48190310,0.30000001,0.30000001,-1.2470706,-0.76832008,-2.0153906,1
48190311,8.6000004,41.799999,-0.84816295,-0.73158288,-1.5797459,1
48190312,0.30000001,0.30000001,-1.2470706,-0.76832008,-2.0153906,1
48190313,0,.,-1.2614889,.,.,.
48190314,16,60.200001,-0.49251044,-0.7152946,-1.207805,1
48190315,21.4,66.5,-0.23298019,-0.70971763,-0.94269782,1
59010123,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
59010124,8,49,-0.87699968,-0.72520924,-1.6022089,1
59010125,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
59010126,11.5,44.799999,-0.70878565,-0.7289272,-1.4377128,1
59010127,1,5.6999998,-1.2134278,-0.76353985,-1.9769676,1
59010128,36.799999,174.10001,0.50716156,-0.61446649,-0.10730489,1
59010129,34.900002,173.3,0.41584539,-0.61517465,-0.19932927,1
59010130,31.4,223.5,0.24763136,-0.57073593,-0.32310459,1
59010131,32,225.89999,0.27646804,-0.56861138,-0.29214332,1
59010132,22.1,165.7,-0.19933739,-0.62190247,-0.82123983,1
59010133,7.4000001,55.799999,-0.90583634,-0.71918964,-1.625026,1
59010134,1.6,.,-1.1845911,.,.,.
59010135,0,21.299999,-1.2614889,-0.74973017,-2.011219,1
59010136,0,1.5,-1.2614889,-0.76725781,-2.0287466,1
59010137,7.6999998,13.9,-0.89141804,-0.7562809,-1.6476989,1
59010138,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
59010139,3.5,19.6,-1.0932748,-0.75123507,-1.84451,1
59010140,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
59010141,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
59010142,0,0.2,-1.2614889,-0.7684086,-2.0298975,1
59010143,0,0.1,-1.2614889,-0.76849711,-2.0299861,1
59010144,1.3,0,-1.1990094,-0.76858568,-1.9675951,1
59010145,2.5999999,0.2,-1.1365299,-0.7684086,-1.9049385,1
59010146,3.2,0.60000002,-1.1076932,-0.76805454,-1.8757477,1
59010147,6.4000001,0.80000001,-0.95389754,-0.76787746,-1.7217749,1
59010148,2.5999999,3.0999999,-1.1365299,-0.76584142,-1.9023713,1
59010149,2.5999999,4.1999998,-1.1365299,-0.76486766,-1.9013976,1
59010150,27.200001,88.699997,0.045774501,-0.69006544,-0.64429092,1
59010151,14.7,41.799999,-0.55498993,-0.73158288,-1.2865728,1
59010152,15.4,70.300003,-0.52134711,-0.70635372,-1.2277008,1
59010153,2.9000001,19.4,-1.1221116,-0.75141215,-1.8735237,1
59010154,26.9,133.60001,0.031356156,-0.65031844,-0.61896229,1
59010155,30.1,200.60001,0.18515185,-0.59100777,-0.40585592,1
59010156,0.30000001,12,-1.2470706,-0.75796288,-2.0050335,1
59010157,34.900002,211.10001,0.41584539,-0.58171284,-0.16586743,1
59010158,34.299999,190.89999,0.3870087,-0.59959453,-0.21258585,1
59010159,35.5,171.89999,0.44468209,-0.61641401,-0.1717319,1
59010160,27.200001,140.2,0.045774501,-0.64447588,-0.59870142,1
59010161,2.2,22.4,-1.1557543,-0.74875641,-1.9045107,1
59010162,19.799999,115.4,-0.30987805,-0.6664297,-0.97630775,1
59010163,0.30000001,0.1,-1.2470706,-0.76849711,-2.0155678,1
59010164,0,1.4,-1.2614889,-0.76734632,-2.0288353,1
59010165,0,10.1,-1.2614889,-0.75964481,-2.0211337,1
59010166,20.5,279.70001,-0.27623522,-0.52098578,-0.797221,1
59010167,33.599998,453.89999,0.3533659,-0.36677811,-0.013412202,2
59010168,21.5,284.79999,-0.22817408,-0.51647109,-0.74464518,1
59010169,23.1,318.10001,-0.15127623,-0.48699284,-0.63826907,2
59010170,30.4,379.60001,0.19957019,-0.43255097,-0.23298076,2
59010171,38.099998,469.79999,0.56964111,-0.35270289,0.21693821,2
59010172,53.099998,715.20001,1.2905585,-0.13546653,1.1550919,2
59010173,52.799999,704.59998,1.2761401,-0.14485002,1.1312901,2
59010174,57,788.09998,1.4779969,-0.070932999,1.407064,2
59010175,48,609.20001,1.0454465,-0.2293013,0.81614524,2
59010176,32.700001,398.5,0.31011084,-0.41582003,-0.10570919,2
59010177,49,720.70001,1.0935076,-0.13059774,0.96290994,2
59010178,40,589.20001,0.66095728,-0.24700597,0.41395131,2
59010179,36.200001,617.5,0.47832489,-0.22195387,0.25637102,2
59010180,25.6,385.39999,-0.031123346,-0.42741659,-0.45853993,2
59010181,21.799999,248.5,-0.21375573,-0.54860508,-0.76236081,1
59010182,1.9,2.3,-1.1701727,-0.76654965,-1.9367223,1
59010183,19.200001,466.5,-0.33871475,-0.35562414,-0.69433886,2
59010184,24.299999,480.20001,-0.093602844,-0.34349644,-0.43709931,2
59010185,23.4,387.70001,-0.13685788,-0.42538056,-0.56223845,2
59010186,18.200001,204.3,-0.38677588,-0.58773243,-0.97450829,1
59010187,31.4,641.5,0.24763136,-0.20070826,0.046923097,2
59010188,45.5,658.59998,0.92529362,-0.18557076,0.73972285,2
59010189,47.400002,659.09998,1.0166098,-0.18512814,0.8314817,2
59010190,48.299999,596.59998,1.0598649,-0.24045524,0.81940961,2
59010191,52.200001,623.90002,1.2473034,-0.21628837,1.031015,2
59010192,60.5,772.09998,1.6462109,-0.085096739,1.5611142,2
59010193,44.200001,578.40002,0.86281413,-0.25656649,0.6062476,2
59010194,48.700001,648.09998,1.0790893,-0.19486572,0.88422364,2
59010195,49.599998,657.90002,1.1223444,-0.18619043,0.93615395,2
59010196,55.099998,890.79999,1.3866807,0.019980501,1.4066613,3
59010197,44.799999,789.90002,0.8916508,-0.069339573,0.82231122,2
59010198,37.799999,688,0.55522275,-0.15954489,0.39567786,2
59010199,18.9,177,-0.35313308,-0.61189932,-0.9650324,1
59010200,6.0999999,51.599998,-0.96831584,-0.7229076,-1.6912235,1
59010201,7,75.400002,-0.92506081,-0.70183903,-1.6268998,1
59010202,10.6,108.5,-0.75204068,-0.6725378,-1.4245784,1
59010203,3.8,0.80000001,-1.0788565,-0.76787746,-1.846734,1
59010204,2.2,0.69999999,-1.1557543,-0.76796597,-1.9237204,1
59010205,6.4000001,35.200001,-0.95389754,-0.73742545,-1.6913229,1
59010206,0,0.30000001,-1.2614889,-0.76832008,-2.029809,1
59010207,20.5,281.70001,-0.27623522,-0.51921535,-0.79545057,1
